filename,width,height,class,xmin,ymin,xmax,ymax
88-114.jpg,400,600,Batik Parang,1,1,400,600
_2_9156409.png,128,128,batik parang,1,1,128,128
_1_6382127.png,128,128,batik parang,1,1,128,128
66-44.jpg,600,400,Batik Parang,1,1,599,400
66-43.jpg,600,400,Batik Parang,1,1,600,400
66-42.jpg,600,400,Batik Parang,1,1,600,400
66-41.jpg,600,400,Batik Parang,1,1,600,400
66-40.jpg,600,400,Batik Parang,1,1,600,400
66-39.jpg,600,400,Batik Parang,1,1,600,400
66-38.jpg,600,400,Batik Parang,1,1,600,400
66-37.jpg,600,400,Batik Parang,1,1,600,400
66-36.jpg,600,400,Batik Parang,1,1,600,400
66-35.jpg,600,400,Batik Parang,1,1,600,400
_1_7835374.png,128,128,batik parang,1,1,128,128
66-34.jpg,600,400,Batik Parang,1,1,600,400
66-33.jpg,600,400,Batik Parang,1,1,600,400
66-32.jpg,600,400,Batik Parang,1,1,600,400
66-31.jpg,600,400,Batik Parang,1,1,600,400
66-30.jpg,600,400,Batik Parang,1,1,600,400
66-29.jpg,600,400,Batik Parang,1,1,600,400
66-28.jpg,600,400,Batik Parang,1,1,600,400
66-27.jpg,600,400,Batik Parang,1,1,600,400
66-26.jpg,600,400,Batik Parang,1,1,600,400
66-25.jpg,600,400,Batik Parang,1,1,600,400
_1_9953409.png,128,128,batik parang,1,1,128,128
66-24.jpg,600,400,Batik Parang,1,1,600,400
66-23.jpg,600,400,Batik Parang,1,1,600,400
66-22.jpg,600,400,Batik Parang,1,1,600,400
66-21.jpg,600,400,Batik Parang,1,1,600,400
66-20.jpg,600,400,Batik Parang,1,1,600,400
66-19.jpg,600,400,Batik Parang,1,1,600,400
66-18.jpg,600,400,Batik Parang,1,1,600,400
66-17.jpg,600,400,Batik Parang,1,1,600,400
66-16.jpg,600,400,Batik Parang,1,1,600,400
66-15.jpg,600,400,Batik Parang,1,1,600,400
_1_5367304.png,128,128,batik parang,1,1,128,128
66-14.jpg,600,400,Batik Parang,1,1,600,400
66-13.jpg,600,400,Batik Parang,1,1,600,400
66-12.jpg,600,400,Batik Parang,1,1,600,400
66-11.jpg,600,400,Batik Parang,1,1,600,400
66-10.jpg,600,400,Batik Parang,1,1,600,400
66-9.jpg,600,400,Batik Parang,1,1,600,400
66-8.jpg,600,400,Batik Parang,1,1,600,400
66-7.jpg,600,400,Batik Parang,1,1,600,400
66-6.jpg,600,400,Batik Parang,1,1,600,400
66-5.jpg,600,400,Batik Parang,1,1,600,400
_1_5444754.png,128,128,batik parang,1,1,128,128
66-4.jpg,600,400,Batik Parang,1,1,600,400
66-3.jpg,600,400,Batik Parang,1,1,597,400
66-2.jpg,600,400,Batik Parang,1,1,600,400
66-1.jpg,600,400,Batik Parang,1,1,600,400
50.jpg,229,220,batik parang,1,1,229,220
49.jpg,283,300,batik parang,11,7,276,295
48.jpg,1000,1333,batik parang,144,21,830,1333
47.jpg,462,721,batik parang,3,3,462,721
46.jpg,1200,1385,batik parang,1,3,1200,1385
45.jpg,750,1083,batik parang,25,365,750,934
_1_6316677.png,128,128,batik parang,1,1,128,128
44.jpg,750,1083,batik parang,76,339,750,913
43.jpg,1000,1000,batik parang,231,101,857,893
42.jpg,750,1083,batik parang,6,200,750,1083
41.jpg,1118,1332,batik parang,5,4,1118,1332
40.jpg,1138,1344,batik parang,7,1,1138,1344
39.jpg,1000,1000,batik parang,1,7,1000,1000
38.jpg,375,500,batik parang,4,4,375,222
37.jpg,1702,1702,batik parang,61,55,1630,1637
36-110.jpg,600,400,Batik Parang,1,1,600,400
36-109.jpg,600,400,Batik Parang,1,1,600,400
_1_6796381.png,128,128,batik parang,1,1,128,128
36-108.jpg,600,400,Batik Parang,1,1,600,400
36-107.jpg,600,400,Batik Parang,1,1,600,400
36-106.jpg,600,400,Batik Parang,1,1,600,400
36-105.jpg,600,400,Batik Parang,1,1,599,400
36-104.jpg,600,400,Batik Parang,1,1,600,400
36-103.jpg,600,400,Batik Parang,1,1,600,400
36-102.jpg,600,400,Batik Parang,1,1,600,400
36-101.jpg,600,400,Batik Parang,1,1,600,400
36-100.jpg,600,400,Batik Parang,1,1,600,400
36-99.jpg,600,400,Batik Parang,1,1,600,400
_1_9081825.png,128,128,batik parang,1,1,128,128
36-98.jpg,600,400,Batik Parang,1,1,600,400
36-97.jpg,600,400,Batik Parang,1,1,600,400
36-96.jpg,600,400,Batik Parang,1,1,600,400
36-95.jpg,600,400,Batik Parang,1,1,600,400
36-94.jpg,600,400,Batik Parang,1,1,600,400
36-93.jpg,600,400,Batik Parang,1,1,600,400
