filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,300,200,Batik Parang,1,1,300,200
10.jpg,1500,1600,Batik Kawung,7,5,1481,1490
11.jpg,888,1024,Batik Kawung,183,632,646,960
12.jpg,1280,720,Batik Kawung,72,8,1163,704
13.jpg,1600,1200,Batik Kawung,10,30,1600,1182
14.jpg,600,600,Batik Kawung,5,6,596,592
15.jpg,700,700,Batik Kawung Kembang Baturaden,10,6,700,594
17.jpg,480,360,Batik Kawung,8,33,260,331
18.jpg,1600,1200,Batik Kawung,1,6,1598,1194
19.jpg,800,542,Batik Kawung,5,3,795,536
20.jpg,1300,1390,Batik Kawung,1,2,1293,1160
23.jpg,641,960,Batik Kawung,1,1,641,960
24.jpg,600,408,Batik Kawung,1,1,600,408
25.jpg,800,800,Batik Kawung,2,2,800,800
26.jpg,1756,1140,Batik Kawung,1,1,1756,1140
29-1.jpg,600,400,Batik Kawung,1,1,600,400
29-10.jpg,600,400,Batik Kawung,1,1,600,400
29-100.jpg,600,400,Batik Kawung,1,1,600,400
29-101.jpg,600,400,Batik Kawung,1,1,600,400
29-102.jpg,600,400,Batik Kawung,1,1,600,400
29-103.jpg,600,400,Batik Kawung,1,1,600,400
29-104.jpg,600,400,Batik Kawung,1,1,600,400
29-105.jpg,600,400,Batik Kawung,1,1,600,400
29-106.jpg,600,400,Batik Kawung,1,1,600,400
29-107.jpg,600,400,Batik Kawung,1,1,600,400
29-108.jpg,600,400,Batik Kawung,1,1,600,400
29-109.jpg,600,400,Batik Kawung,1,1,600,400
29-11.jpg,600,400,Batik Kawung,1,1,600,400
29-110.jpg,600,400,Batik Kawung,1,1,600,400
29-111.jpg,600,400,Batik Kawung,1,1,599,400
29-112.jpg,600,400,Batik Kawung,1,1,600,400
29-113.jpg,600,400,Batik Kawung,1,1,600,400
29-114.jpg,600,400,Batik Kawung,1,1,600,400
29-115.jpg,600,400,Batik Kawung,1,1,600,400
29-116.jpg,600,400,Batik Kawung,1,1,600,400
29-117.jpg,600,400,Batik Kawung,1,1,600,400
29-118.jpg,600,400,Batik Kawung,1,1,600,400
29-119.jpg,600,400,Batik Kawung,1,1,600,400
29-12.jpg,600,400,Batik Kawung,1,1,600,400
29-120.jpg,600,400,Batik Kawung,1,1,600,400
29-13.jpg,600,400,Batik Kawung,1,1,600,400
